Index,Cr,Co,Cu,Fe,Mo,Mn,Ni,Ti
241,5.25,28.97,6.3,6.19,22.11,19.28,3.18,8.7
242,15.41,3.84,18.49,11.57,2.89,8.53,23.75,15.53
243,14.81,4.76,17.77,10.85,3.47,9.26,21.19,17.89
244,13.94,5.91,16.73,10.86,4.22,10.66,20.52,17.14
245,13.23,6.5,15.88,10.96,4.42,11.73,19.55,17.73
246,13.16,7.85,15.8,10.17,4.94,12.72,18.13,17.23
247,11.49,7.31,13.79,11.63,6.23,13.14,18.2,18.2
248,10.47,10.19,12.56,11.94,5.79,15.68,16.57,16.8
249,10.87,9.49,13.04,10.46,7.36,15.3,16.04,17.43
250,9.64,11.05,11.57,11.18,8.11,16.88,14.2,17.36
251,9.74,12.7,11.69,10.8,9.07,17.49,11.66,16.85
252,8.15,14.11,9.78,9.87,10.49,17.49,12.59,17.53
253,8.24,15.31,9.89,9.52,11.13,19.44,9.72,16.76
254,7.9,16.96,9.48,9.2,13.01,19.75,9.16,14.54
255,6.51,17.9,7.81,8.66,13.73,21.55,9.64,14.2
256,6.69,20.75,8.03,7.85,15.31,20.41,7.77,13.19
257,5.97,21.83,7.16,8.59,16.5,19.89,6.24,13.83
258,4.97,23.42,5.97,7.59,17.36,22.24,7.38,11.07
259,4.74,27.24,5.68,6.03,18.25,21.53,5.17,11.37
260,5.31,26.8,6.37,5.92,19.92,20.55,5.04,10.09
261,14.19,5.16,17.03,8.91,3.07,9.06,23.59,18.98
262,14.04,4.68,16.85,9.88,3.04,10.49,23.34,17.69
263,12.83,6.29,15.4,10.56,3.15,12.61,21.0,18.16
264,12.69,5.83,15.23,9.13,4.17,11.22,21.54,20.19
265,11.62,7.27,13.95,10.57,5.01,12.89,19.77,18.91
266,11.48,7.66,13.78,9.78,5.63,14.09,19.29,18.29
267,10.19,9.46,12.23,11.0,5.98,15.25,15.98,19.92
268,9.79,12.05,11.75,9.89,6.92,15.43,15.19,18.99
269,10.48,11.2,12.58,8.63,7.55,17.62,14.02,17.91
270,9.79,13.22,11.75,8.03,9.12,17.36,13.02,17.71
271,7.89,14.93,9.47,8.34,10.08,19.97,12.1,17.22
272,7.8,16.36,9.36,7.86,10.92,18.97,11.27,17.47
273,7.14,17.33,8.57,9.33,10.96,22.32,8.77,15.58
274,7.37,18.76,8.84,6.88,13.4,21.73,8.47,14.56
275,6.27,20.34,7.52,7.91,14.71,20.96,7.94,14.34
276,6.15,23.23,7.38,6.15,14.91,20.69,7.83,13.65
277,4.51,24.32,5.41,7.54,16.55,21.63,6.69,13.37
278,5.15,25.76,6.19,6.07,17.53,22.22,6.04,11.04
279,4.86,27.08,5.84,5.53,18.79,21.79,5.12,10.99
280,13.02,5.19,15.63,9.63,3.0,10.89,22.92,19.7
281,11.88,6.16,14.26,8.79,4.01,12.5,22.77,19.63
282,12.05,5.89,14.46,8.73,4.29,11.91,21.91,20.77
283,11.22,8.09,13.46,8.33,4.25,14.28,20.39,19.99
284,10.73,8.09,12.87,9.57,5.42,15.17,18.21,19.94
285,10.09,9.96,12.11,8.61,5.62,16.29,17.3,20.0
286,10.04,9.39,12.05,9.5,5.96,17.32,15.42,20.34
287,9.38,11.82,11.26,8.87,7.33,18.59,14.12,18.63
288,8.43,12.13,10.11,9.33,8.66,18.16,13.19,19.99
289,8.3,13.52,9.96,8.28,9.02,20.24,11.92,18.77
290,7.29,16.23,8.74,8.77,9.93,21.23,10.99,16.83
291,6.82,16.83,8.18,8.26,10.33,21.41,10.82,17.35
292,6.53,17.79,7.84,6.1,13.2,21.61,10.1,16.83
293,5.45,19.91,6.54,8.63,13.4,22.94,7.71,15.42
294,5.33,23.49,6.39,6.57,13.84,23.0,7.26,14.11
295,4.82,24.42,5.78,6.49,15.25,22.39,7.01,13.83
296,5.34,26.56,6.41,5.22,15.47,23.74,5.18,12.09
297,11.45,6.15,13.74,7.65,3.09,13.01,23.43,21.47
298,10.61,6.36,12.74,9.28,3.71,12.99,21.6,22.71
299,10.94,7.25,13.13,7.6,4.84,13.96,19.9,22.38
300,10.17,7.74,12.2,9.09,5.15,15.46,19.28,20.91
301,9.51,9.66,11.41,8.28,4.78,17.29,16.33,22.74
302,8.69,10.07,10.42,8.95,6.32,18.07,16.42,21.06
303,8.1,11.74,9.71,8.22,6.68,20.03,14.99,20.54
304,8.55,12.18,10.26,8.88,7.4,19.43,12.43,20.87
305,7.63,14.57,9.16,7.9,7.9,21.39,12.02,19.42
306,7.43,15.97,8.91,7.66,9.12,22.44,10.51,17.95
307,6.61,17.24,7.93,6.81,10.21,22.83,10.57,17.78
308,5.67,19.35,6.8,6.87,11.56,23.12,8.81,17.81
309,5.48,21.44,6.58,6.05,12.64,22.79,8.76,16.24
310,4.78,22.75,5.74,5.74,13.38,25.72,7.09,14.81
311,4.45,24.49,5.34,6.07,13.75,25.28,5.82,14.8
312,10.14,6.21,12.17,7.65,4.17,13.74,22.12,23.79
313,9.59,8.05,11.5,7.97,3.15,16.13,20.69,22.92
314,8.45,8.96,10.14,8.41,4.39,17.74,18.87,23.04
315,8.74,8.92,10.48,7.94,5.79,19.03,17.27,21.84
316,9.09,9.3,10.91,7.9,5.93,18.5,15.95,22.42
317,8.52,11.54,10.23,7.91,6.1,19.29,14.64,21.76
318,7.96,12.6,9.55,7.05,7.61,20.96,13.36,20.92
319,7.04,15.07,8.45,6.21,7.37,22.11,11.87,21.88
320,7.03,16.13,8.43,5.42,9.29,23.04,10.92,19.75
321,5.59,17.04,6.71,6.31,9.81,23.65,10.93,19.97
322,6.14,20.61,7.37,5.89,9.66,22.79,8.7,18.84
323,5.42,20.12,6.51,5.44,11.22,25.17,8.77,17.34
324,4.53,23.06,5.43,5.37,12.35,25.42,7.52,16.32
325,9.51,6.93,11.41,7.39,3.77,15.72,19.62,25.65
326,9.37,7.6,11.25,6.68,4.34,17.04,19.05,24.66
327,8.91,9.1,10.7,5.81,5.05,18.04,17.62,24.77
328,8.04,9.38,9.65,6.55,5.03,20.41,17.36,23.58
329,7.29,11.78,8.75,6.45,6.81,20.24,13.97,24.72
330,7.24,13.03,8.69,6.21,6.77,22.19,13.54,22.34
331,6.31,13.34,7.57,7.22,7.22,24.61,11.32,22.42
332,5.73,16.33,6.87,5.62,8.12,24.58,11.0,21.75
333,5.98,17.19,7.17,5.43,8.85,24.95,9.9,20.53
334,5.78,19.47,6.94,5.09,9.67,24.76,8.95,19.33
335,5.82,21.0,6.99,4.77,10.94,26.12,6.14,18.21
336,7.48,9.17,8.98,5.95,4.59,19.55,17.96,26.32
337,8.15,9.14,9.78,5.8,4.83,20.14,16.24,25.91
338,6.75,11.32,8.1,5.58,5.58,22.31,14.95,25.43
339,6.8,12.34,8.16,6.34,7.11,22.88,12.24,24.12
340,5.96,13.33,7.16,6.39,7.23,23.91,12.18,23.85
341,5.42,16.2,6.5,4.93,8.04,24.63,12.21,22.07
342,4.62,18.27,5.54,5.47,9.49,25.73,9.2,21.68
